,,,,,,
,,,,,,
,,,,,,
Date,Open,High,Low,Close Close price adjusted for splits.,Adj Close Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
01/01/2026,87508.05,97860.6,75815.88,78621.12,78621.12,1257318501232.00
01/12/2025,90389.11,94601.57,83862.25,87508.83,87508.83,1487947448337.00
01/11/2025,109558.63,111167.31,80659.81,90394.31,90394.31,2121328523236.00
01/10/2025,114057.59,126198.07,103598.43,109556.16,109556.16,2225033226796.00
01/09/2025,108228.75,117911.79,107271.18,114056.09,114056.09,1450418370470.00
01/08/2025,115738.95,124457.12,107444.45,108236.71,108236.71,2048378158799.00
01/07/2025,107144.38,123091.61,105157.4,115758.2,115758.2,2061338304539.00
01/06/2025,104637.3,110561.42,98286.2,107135.34,107135.34,1424277758118.00
01/05/2025,94212.86,111970.17,93399.86,104638.09,104638.09,1496397538233.00
01/04/2025,82551.92,95768.39,74436.68,94207.31,94207.31,1060974068310.00
01/03/2025,84373.87,95043.44,76624.25,82548.91,82548.91,1049435373908.00
01/02/2025,102402.8,102755.73,78248.91,84373.01,84373.01,1257276788562.00
01/01/2025,93425.1,109114.88,89260.1,102405.02,102405.02,1668843382017.00
01/12/2024,96461.34,108268.45,91317.13,93429.2,93429.2,2057355570135.00
01/11/2024,70216.9,99655.5,66803.65,96449.05,96449.05,2055808875264.00
01/10/2024,63335.61,73577.21,58895.21,70215.19,70215.19,993732418048.00
01/09/2024,58969.8,66480.7,52598.7,63329.5,63329.5,879117914822.00
01/08/2024,64625.84,65593.24,49121.24,58969.9,58969.9,1043105485208.00
01/07/2024,62673.61,69987.54,53717.38,64619.25,64619.25,953395573307.00
01/06/2024,67489.61,71907.85,58601.7,62678.29,62678.29,726773965644.00
01/05/2024,60609.5,71946.46,56555.29,67491.41,67491.41,874291509757.00
01/04/2024,71333.48,72715.36,59120.07,60636.86,60636.86,1016068331704.00
01/03/2024,61168.06,73750.07,59323.91,71333.65,71333.65,1446417844950.00
01/02/2024,42569.76,63913.13,41879.19,61198.38,61198.38,830721862621.00
01/01/2024,42280.23,48969.37,38521.89,42582.61,42582.61,825918941347.00
01/12/2023,37718.01,44705.52,37629.36,42265.19,42265.19,721704910480.00
01/11/2023,34657.27,38415.34,34133.44,37712.75,37712.75,570863267380.00
01/10/2023,26967.4,35150.43,26558.32,34667.78,34667.78,476425634860.00
01/09/2023,25934.02,27488.76,24930.3,26967.92,26967.92,337637313742.00
01/08/2023,29230.87,30176.8,25409.11,25931.47,25931.47,437724169499.00
01/07/2023,30471.85,31814.52,28934.29,29230.11,29230.11,382224489090.00
01/06/2023,27218.41,31389.54,24797.17,30477.25,30477.25,481734214225.00
01/05/2023,29227.1,29820.13,25878.43,27219.66,27219.66,443473015479.00
01/04/2023,28473.33,31005.61,27070.85,29268.81,29268.81,511540319004.00
01/03/2023,23150.93,29159.9,19628.25,28478.48,28478.48,883299703608.00
01/02/2023,23137.84,25134.12,21460.09,23147.35,23147.35,723968574897.00
01/01/2023,16547.91,23919.89,16521.23,23139.28,23139.28,690994018045.00
01/12/2022,17168,18318.53,16398.14,16547.5,16547.5,541356716034.00
01/11/2022,20494.9,21446.89,15599.05,17168.57,17168.57,1224531549126.00
