,data,open,high,low,close,volume,marketCap,circulatingSupply,mês,ano,var%
0,2025-01-01,93425.1021360494,109114.8848340883,89260.1001886086,102405.0270844454,1917584997242.0,2029428972448.0,19817771,1,2025,9.611897384194524
1,2024-12-01,96461.3368002386,108268.4470804361,91317.1354600511,93429.2028113992,2367571853073.0,1850183342119.0,19803921,12,2024,-3.1433671659751417
2,2024-11-01,70216.8969678825,99655.5010786335,66803.649995796,96449.0558127732,2214093389107.0,1908652965665.0,19789534,11,2024,37.35875548144687
3,2024-10-01,63335.603583719,73577.2096582116,58895.2078078197,70215.1856325839,1049276385591.0,1388607599014.0,19775975,10,2024,10.862108608108944
4,2024-09-01,58969.7994536059,66480.6947101072,52598.6996623841,63329.4981294766,935228464018.0,1251461875405.0,19761121,9,2024,7.393104124935457
5,2024-08-01,64625.8404447144,65593.244771184,49121.2373775943,58969.8983660431,1076531038326.0,1164522862133.0,19747784,8,2024,-8.751827503906584
6,2024-07-01,62673.6063386528,69987.5422080099,53717.3754334207,64619.2496492185,953395573304.0,1275323104043.0,19733950,7,2024,3.10440618344594
7,2024-06-01,67475.4311813476,71907.8489829092,58601.7000722967,62678.292079457,751726832520.0,1235944779945.0,19718865,6,2024,-7.109460462724215
8,2024-05-01,60609.4979456889,71946.462688481,56555.2940546252,67489.6117770498,874291509756.0,1329961627933.0,19706168,5,2024,11.351544006396574
9,2024-04-01,71333.4847168797,72715.3596085505,59120.0680465683,60636.8567800147,1016068331704.0,1193544962108.0,19692375,4,2024,-14.995240985800107
10,2024-03-01,61168.0624293716,73750.07385038,59323.9089421326,71333.6479258644,1446417844950.0,1403108244335.0,19669700,3,2024,16.6191065937892
11,2024-02-01,42569.7613984399,63913.1318135774,41879.1899911815,61198.382897303,830721862618.0,1202008882583.0,19641187,2,2024,43.760220604726726
12,2024-01-01,42280.2352761923,48969.3713995297,38521.8938882205,42582.6063895367,825918941348.0,835231465697.0,19614381,1,2024,0.7151594861503963
13,2023-12-01,37718.0096264496,44705.5150094178,37629.3589120492,42265.185654866,721704910476.0,827811209384.0,19586125,12,2023,12.055715753430718
14,2023-11-01,34657.275324496,38415.3381982376,34133.4396153842,37712.7477716325,570863267378.0,737560917365.0,19557337,11,2023,8.81625118688103
15,2023-10-01,26967.3974331494,35150.4334987547,26558.320783999,34667.7793605467,476425634860.0,677047621125.0,19529593,10,2023,28.55441258833411
16,2023-09-01,25934.0208061586,27488.7638021952,24930.2974941684,26967.9163010637,337637313742.0,525885640459.0,19500418,9,2023,3.9866378708988126
17,2023-08-01,29230.8724049903,30176.7962374838,25409.1116027686,25931.4728933574,437724169499.0,504957555550.0,19472768,8,2023,-11.287379541465981
18,2023-07-01,30471.8475630488,31814.5148120678,28934.2941602457,29230.110878649,382224489087.0,568365621732.0,19444525,7,2023,-4.075029194834812
19,2023-06-01,27218.4123755644,31389.5381281357,24797.1678486154,30477.2512822446,481734214225.0,591758288455.0,19416393,6,2023,11.972920616067428
20,2023-05-01,29227.1039819099,29820.1266220765,25878.428829536,27219.6586081109,443473015482.0,527773175252.0,19389412,5,2023,-6.868437512801484
21,2023-04-01,28473.3318011971,31005.6080444729,27070.8494995525,29268.8070431626,531060399718.0,566661285145.0,19360587,4,2023,2.7937553902001033
22,2023-03-01,23150.9299581785,29159.9026178662,19628.2543094205,28478.4846056804,883299703607.0,550593053896.0,19333650,3,2023,23.01227059615305
23,2023-02-01,23137.8351361505,25134.1173501961,21460.0885038644,23147.3533899085,723968574896.0,446846764116.0,19304443,2,2023,0.04113718375982067
24,2023-01-01,16547.9143978715,23919.8897614092,16521.233430529,23139.2839099123,690928920787.0,446082285297.0,19278137,1,2023,39.832025677439
25,2022-12-01,17168.0021376253,18318.530584361,16398.1362516753,16547.4953660162,567256839394.0,318516317872.0,19248612,12,2022,-3.614321379010088
26,2022-11-01,20494.8976229392,21446.8860966908,15599.0471753829,17168.5655484864,1224531549126.0,329997633644.0,19221037,11,2022,-16.23004972091081
27,2022-10-01,19431.1049459172,20988.3944704236,18319.8226296141,20495.7742320325,957903424925.0,393413045572.0,19194837,10,2022,5.47920094651646
28,2022-09-01,20050.4986698419,22673.8197662856,18290.315188225,19431.7894465994,1123272250383.0,372414733487.0,19165231,9,2022,-3.0857547905933536
29,2022-08-01,23336.7180518604,25135.5903960686,19600.7850348256,20049.7631893726,894192654541.0,383710102294.0,19137887,8,2022,-14.08490626309712
30,2022-07-01,19820.4704741998,24572.5794217469,18966.9506341661,23336.8956049843,927582363389.0,445941074223.0,19108843,7,2022,17.741380737464386
31,2022-06-01,31792.5538087129,31957.2843170438,17708.6237125896,19784.7264946249,923939211678.0,377526215552.0,19081700,6,2022,-37.76930719795525
32,2022-05-01,37713.265089741,39902.9502136511,26350.4901742248,31792.3099432754,1089422059065.0,605797887876.0,19054856,5,2022,-15.699927153950544
33,2022-04-01,45554.1638120546,47313.4768544721,37697.9427790922,37714.875545299,830115888651.0,717596901508.0,19026893,4,2022,-17.20871949071131
34,2022-03-01,43194.5042113042,48086.8367491568,37260.2017138385,45538.6769223388,830943838434.0,865202119215.0,18999281,3,2022,5.4270161304944775
35,2022-02-01,38481.7653685119,45661.1731433747,34459.2177282867,43193.2340330233,671335993322.0,819414782676.0,18970906,2,2022,12.243379739450845
36,2022-01-01,46311.744663041,47881.4062331606,33184.0595656615,38483.126309273,923979037677.0,729073641687.0,18945281,1,2022,-16.904174979215615
37,2021-12-01,56907.9667338266,59041.6852434855,42874.6168583905,46306.4461226996,957047184721.0,875939356678.0,18916143,12,2021,-18.629238083154643
38,2021-11-01,61320.4494915952,68789.6259389221,53569.7639630968,57005.4254735998,1053270271384.0,1076689232562.0,18887487,11,2021,-7.036843424617811
39,2021-10-01,43816.7406442989,66930.3872709899,43320.0229785376,61318.957766606,1153077903531.0,1156485845063.0,18860168,10,2021,39.944132915747474
40,2021-09-01,47099.77486941,52853.7637963,39787.6097979604,43790.8956254849,1102139678824.0,824619217607.0,18830837,9,2021,-7.025254904294931
41,2021-08-01,41460.84408133,50482.07640834,37458.00399335,47166.68794545,1065642012587.0,886869903602.0,18802887,8,2021,13.762006033758901
42,2021-07-01,35035.98271227,42235.54770874,29360.95583827,41626.19567624,877979009506.0,781431379811.0,18772587,7,2021,18.809841921922256
43,2021-06-01,37293.79237447,41295.26857449,28893.62165844,35040.83724889,1189647451706.0,656852513237.0,18745343,6,2021,-6.041099556081342
44,2021-05-01,57714.66485835,59519.35442559,30681.49691178,37332.85368874,1976593438571.0,698990486184.0,18723200,5,2021,-35.31478735886867
45,2021-04-01,58926.56414734,64863.0989077,47159.48584083,57750.17734563,1844481772415.0,1079669884319.0,18695525,4,2021,-1.9963607563620478
